annual_loaded_usd,assignments,authorized,delivery_role,fact_state,home_group,home_unit,occupied,paid_fte,person_id,position_id
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-001,SYN-FOUNDRY-FIELD-001
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-002,SYN-FOUNDRY-FIELD-002
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-003,SYN-FOUNDRY-FIELD-003
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-004,SYN-FOUNDRY-FIELD-004
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-005,SYN-FOUNDRY-FIELD-005
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-006,SYN-FOUNDRY-FIELD-006
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-007,SYN-FOUNDRY-FIELD-007
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-008,SYN-FOUNDRY-FIELD-008
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-009,SYN-FOUNDRY-FIELD-009
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-010,SYN-FOUNDRY-FIELD-010
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-011,SYN-FOUNDRY-FIELD-011
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-012,SYN-FOUNDRY-FIELD-012
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-013,SYN-FOUNDRY-FIELD-013
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-014,SYN-FOUNDRY-FIELD-014
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-015,SYN-FOUNDRY-FIELD-015
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-016,SYN-FOUNDRY-FIELD-016
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-017,SYN-FOUNDRY-FIELD-017
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-018,SYN-FOUNDRY-FIELD-018
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-019,SYN-FOUNDRY-FIELD-019
145000,"{""foundry-field"":""1""}",True,True,CONDITIONAL_OCCUPANCY_NOT_2026_ACTUAL,foundry-field,foundry-field,True,1,SYN-PERSON-FOUNDRY-FIELD-020,SYN-FOUNDRY-FIELD-020
