scenario,entity,year,month,account,account_name,account_type,signed_usd,debit_usd,credit_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,ARU_GROUP,2027,0,1000,Cash,asset,4198440,4198440,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1100,"External receivables, net of allowance",asset,6120000,6120000,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1150,Intercompany receivable,asset,49240,49240,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1200,Inventory cash cost,asset,1854000,1854000,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1300,Prepaids,asset,721000,721000,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1400,PPE gross,asset,61550000,61550000,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1490,Accumulated PPE depreciation,asset,-2684091,0,2684091,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1500,Finance lease ROU gross,asset,2500000,2500000,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1590,Accumulated finance lease ROU depreciation,asset,-491783,0,491783,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1600,Goodwill,asset,14762500,14762500,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1700,"Debt issuance cost, contra term debt",liability,240968,240968,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,1800,Deferred tax asset on reserved liabilities,asset,587500,587500,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2000,Trade payables,liability,-3090000,0,3090000,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2100,Operating accruals,liability,-1030000,0,1030000,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2110,Retention compensation payable,liability,-241781,0,241781,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2200,Environmental reserve / ARO,liability,-1750000,0,1750000,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2250,Deferred tax liability on tax goodwill amortization,liability,-216667,0,216667,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2300,Claim reserve / other liabilities,liability,-600000,0,600000,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2400,Term debt face value,liability,-21375000,0,21375000,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,2600,Finance lease obligation,liability,-2008219,0,2008219,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,3000,Contributed equity,equity,-56004880,0,56004880,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
base,ARU_GROUP,2027,0,3100,Prior retained earnings,equity,-3091227,0,3091227,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-01
