entity,year,statement,line_id,line,amount_usd,sign_convention,period_role,record_origin,fact_state,as_of_cutoff,effective_period_end,available_at
ARU_GROUP,2026,BALANCE_SHEET,1000,Cash,4198440,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1100,"External receivables, net of allowance",6120000,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1150,Intercompany receivable,49240,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1200,Inventory cash cost,1854000,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1300,Prepaids,721000,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1400,PPE gross,61550000,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1490,Accumulated PPE depreciation,-2684091,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1500,Finance lease ROU gross,2500000,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1590,Accumulated finance lease ROU depreciation,-491783,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1600,Goodwill,14762500,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
ARU_GROUP,2026,BALANCE_SHEET,1700,"Debt issuance cost, contra term debt",-240968,"Revenue, liability and equity credit balances presented positive; expense and asset debit balances positive; contra accounts retain negative signs.",MANAGEMENT_SCENARIO_AT_2026_09_05,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-12-31,2026-09-05
