scenario,year,month,contract_id,customer_id,segment,source_id,revenue_usd,segment_revenue_volume_factor,canceled_customer,price_index,renewal_price_multiplier,available_at,record_origin,fact_state,period_role,effective_period_end
base,2027,1,BST-2025-001,ARU-C-001,BST,SALE-base-202701-BST-2025-001,246974,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-006,ARU-C-006,BST,SALE-base-202701-BST-2025-006,106674,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-002,ARU-C-002,BST,SALE-base-202701-BST-2025-002,185420,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-007,ARU-C-007,BST,SALE-base-202701-BST-2025-007,83534,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-004,ARU-C-004,BST,SALE-base-202701-BST-2025-004,96011,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-008,ARU-C-008,BST,SALE-base-202701-BST-2025-008,49111,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-003,ARU-C-003,BST,SALE-base-202701-BST-2025-003,113434,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-009,ARU-C-009,BST,SALE-base-202701-BST-2025-009,60837,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-010,ARU-C-010,BST,SALE-base-202701-BST-2025-010,55395,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-011,ARU-C-011,BST,SALE-base-202701-BST-2025-011,31043,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-012,ARU-C-012,BST,SALE-base-202701-BST-2025-012,92252,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,BST-2025-013,ARU-C-013,BST,SALE-base-202701-BST-2025-013,58413,1.0206349206349206,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,TRM-2025-001,ARU-C-001,TERMINALS,SALE-base-202701-TRM-2025-001,99419,1.01496062992126,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,TRM-2025-002,ARU-C-002,TERMINALS,SALE-base-202701-TRM-2025-002,96674,1.01496062992126,False,1.0404,1,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
