applied_month,approval_id,contract_id,fact_state,month_index,monthly_rate_usd,original_effective_month,period,reason,scenario,seats,term,term_end_month,unit,version
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-001,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,115000.0000,1,2027-01-31,ACTIVATION,base,100,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-002,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,130000.0000,1,2027-01-31,ACTIVATION,base,120,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-003,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,145000.0000,1,2027-01-31,ACTIVATION,base,140,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-004,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,160000.0000,1,2027-01-31,ACTIVATION,base,160,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-005,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,100000.0000,1,2027-01-31,ACTIVATION,base,80,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-006,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,115000.0000,1,2027-01-31,ACTIVATION,base,100,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-007,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,130000.0000,1,2027-01-31,ACTIVATION,base,120,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-008,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,145000.0000,1,2027-01-31,ACTIVATION,base,140,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-009,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,160000.0000,1,2027-01-31,ACTIVATION,base,160,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-010,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,100000.0000,1,2027-01-31,ACTIVATION,base,80,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-011,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,115000.0000,1,2027-01-31,ACTIVATION,base,100,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-012,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,130000.0000,1,2027-01-31,ACTIVATION,base,120,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-013,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,145000.0000,1,2027-01-31,ACTIVATION,base,140,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-014,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,160000.0000,1,2027-01-31,ACTIVATION,base,160,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-015,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,100000.0000,1,2027-01-31,ACTIVATION,base,80,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-016,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,115000.0000,1,2027-01-31,ACTIVATION,base,100,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-017,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,130000.0000,1,2027-01-31,ACTIVATION,base,120,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-018,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,145000.0000,1,2027-01-31,ACTIVATION,base,140,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-019,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,160000.0000,1,2027-01-31,ACTIVATION,base,160,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-020,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,100000.0000,1,2027-01-31,ACTIVATION,base,80,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-021,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,115000.0000,1,2027-01-31,ACTIVATION,base,100,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-022,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,130000.0000,1,2027-01-31,ACTIVATION,base,120,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-023,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,145000.0000,1,2027-01-31,ACTIVATION,base,140,0,13,foundry-field,1
1,SYNTHETIC_CUSTOMER_ACCEPTANCE,FF-024,PUBLIC_SYNTHETIC_CONDITIONAL_FORECAST,1,160000.0000,1,2027-01-31,ACTIVATION,base,160,0,13,foundry-field,1
