accrual_month,amount_usd,due_date,due_month,payable_id,remaining_usd,scenario,source_id,unit
1,113000.0000,2027-02-28,2,AP-base-1-ESS-FACILITY-VENDORS,0.0000,base,base-01-COST-ESS-FACILITY-VENDORS,corporate
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-001,0.0000,base,base-01-COST-HOSTING-FF-001,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-002,0.0000,base,base-01-COST-HOSTING-FF-002,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-003,0.0000,base,base-01-COST-HOSTING-FF-003,foundry-field
1,1800.0000,2027-02-28,2,AP-base-1-HOSTING-FF-004,0.0000,base,base-01-COST-HOSTING-FF-004,foundry-field
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-005,0.0000,base,base-01-COST-HOSTING-FF-005,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-006,0.0000,base,base-01-COST-HOSTING-FF-006,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-007,0.0000,base,base-01-COST-HOSTING-FF-007,foundry-field
1,1800.0000,2027-02-28,2,AP-base-1-HOSTING-FF-008,0.0000,base,base-01-COST-HOSTING-FF-008,foundry-field
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-009,0.0000,base,base-01-COST-HOSTING-FF-009,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-010,0.0000,base,base-01-COST-HOSTING-FF-010,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-011,0.0000,base,base-01-COST-HOSTING-FF-011,foundry-field
1,1800.0000,2027-02-28,2,AP-base-1-HOSTING-FF-012,0.0000,base,base-01-COST-HOSTING-FF-012,foundry-field
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-013,0.0000,base,base-01-COST-HOSTING-FF-013,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-014,0.0000,base,base-01-COST-HOSTING-FF-014,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-015,0.0000,base,base-01-COST-HOSTING-FF-015,foundry-field
1,1800.0000,2027-02-28,2,AP-base-1-HOSTING-FF-016,0.0000,base,base-01-COST-HOSTING-FF-016,foundry-field
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-017,0.0000,base,base-01-COST-HOSTING-FF-017,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-018,0.0000,base,base-01-COST-HOSTING-FF-018,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-019,0.0000,base,base-01-COST-HOSTING-FF-019,foundry-field
1,1800.0000,2027-02-28,2,AP-base-1-HOSTING-FF-020,0.0000,base,base-01-COST-HOSTING-FF-020,foundry-field
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-021,0.0000,base,base-01-COST-HOSTING-FF-021,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-022,0.0000,base,base-01-COST-HOSTING-FF-022,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-023,0.0000,base,base-01-COST-HOSTING-FF-023,foundry-field
1,1800.0000,2027-02-28,2,AP-base-1-HOSTING-FF-024,0.0000,base,base-01-COST-HOSTING-FF-024,foundry-field
1,2400.0000,2027-02-28,2,AP-base-1-HOSTING-FF-025,0.0000,base,base-01-COST-HOSTING-FF-025,foundry-field
1,3000.0000,2027-02-28,2,AP-base-1-HOSTING-FF-026,0.0000,base,base-01-COST-HOSTING-FF-026,foundry-field
1,3600.0000,2027-02-28,2,AP-base-1-HOSTING-FF-027,0.0000,base,base-01-COST-HOSTING-FF-027,foundry-field
